,cartera_contactada,bajas_capturadas
543,0.26851,0.98769
544,0.269,0.98769
545,0.2695,0.98769
546,0.26999,0.98769
547,0.27048,0.99077
548,0.27098,0.99077
549,0.27147,0.99077
550,0.27196,0.99077
551,0.27246,0.99077
552,0.27295,0.99077
553,0.27345,0.99077
554,0.27394,0.99077
555,0.27443,0.99077
556,0.27493,0.99077
557,0.27542,0.99077
558,0.27591,0.99077
559,0.27641,0.99077
560,0.2769,0.99077
561,0.27739,0.99077
562,0.27789,0.99077
563,0.27838,0.99077
564,0.27887,0.99077
565,0.27937,0.99077
566,0.27986,0.99077
567,0.28036,0.99077
568,0.28085,0.99077
569,0.28134,0.99077
570,0.28184,0.99077
571,0.28233,0.99077
572,0.28282,0.99077
573,0.28332,0.99077
574,0.28381,0.99077
575,0.2843,0.99077
576,0.2848,0.99077
577,0.28529,0.99077
578,0.28578,0.99077
579,0.28628,0.99385
580,0.28677,0.99385
581,0.28727,0.99385
582,0.28776,0.99385
583,0.28825,0.99385
584,0.28875,0.99385
585,0.28924,0.99385
586,0.28973,0.99385
587,0.29023,0.99385
588,0.29072,0.99385
589,0.29121,0.99385
590,0.29171,0.99385
591,0.2922,0.99385
592,0.29269,0.99692
593,0.29319,0.99692
594,0.29368,0.99692
595,0.29418,0.99692
596,0.29467,0.99692
597,0.29516,0.99692
598,0.29566,0.99692
599,0.29615,0.99692
600,0.29664,0.99692
601,0.29714,0.99692
602,0.29763,0.99692
603,0.29812,0.99692
604,0.29862,0.99692
605,0.29911,0.99692
606,0.29961,0.99692
607,0.3001,0.99692
608,0.30059,0.99692
609,0.30109,0.99692
610,0.30158,0.99692
611,0.30207,0.99692
612,0.30257,0.99692
613,0.30306,0.99692
614,0.30355,0.99692
615,0.30405,0.99692
616,0.30454,0.99692
617,0.30503,0.99692
618,0.30553,0.99692
619,0.30602,0.99692
620,0.30652,0.99692
621,0.30701,0.99692
622,0.3075,0.99692
623,0.308,0.99692
624,0.30849,0.99692
625,0.30898,0.99692
626,0.30948,0.99692
627,0.30997,0.99692
628,0.31046,0.99692
629,0.31096,0.99692
630,0.31145,0.99692
631,0.31194,0.99692
632,0.31244,0.99692
633,0.31293,0.99692
634,0.31343,0.99692
635,0.31392,0.99692
636,0.31441,0.99692
637,0.31491,0.99692
638,0.3154,0.99692
639,0.31589,0.99692
640,0.31639,0.99692
641,0.31688,0.99692
642,0.31737,0.99692
643,0.31787,0.99692
644,0.31836,0.99692
645,0.31885,0.99692
646,0.31935,0.99692
647,0.31984,0.99692
648,0.32034,0.99692
649,0.32083,1.0
650,0.32132,1.0
651,0.32182,1.0
652,0.32231,1.0
653,0.3228,1.0
654,0.3233,1.0
655,0.32379,1.0
656,0.32428,1.0
657,0.32478,1.0
658,0.32527,1.0
659,0.32577,1.0
660,0.32626,1.0
661,0.32675,1.0
662,0.32725,1.0
663,0.32774,1.0
664,0.32823,1.0
665,0.32873,1.0
666,0.32922,1.0
667,0.32971,1.0
668,0.33021,1.0
669,0.3307,1.0
670,0.33119,1.0
671,0.33169,1.0
672,0.33218,1.0
673,0.33268,1.0
674,0.33317,1.0
675,0.33366,1.0
676,0.33416,1.0
677,0.33465,1.0
678,0.33514,1.0
679,0.33564,1.0
680,0.33613,1.0
681,0.33662,1.0
682,0.33712,1.0
683,0.33761,1.0
684,0.3381,1.0
685,0.3386,1.0
686,0.33909,1.0
687,0.33959,1.0
688,0.34008,1.0
689,0.34057,1.0
690,0.34107,1.0
691,0.34156,1.0
692,0.34205,1.0
693,0.34255,1.0
694,0.34304,1.0
695,0.34353,1.0
696,0.34403,1.0
697,0.34452,1.0
698,0.34501,1.0
699,0.34551,1.0
700,0.346,1.0
701,0.3465,1.0
702,0.34699,1.0
703,0.34748,1.0
704,0.34798,1.0
705,0.34847,1.0
706,0.34896,1.0
707,0.34946,1.0
708,0.34995,1.0
709,0.35044,1.0
710,0.35094,1.0
711,0.35143,1.0
712,0.35192,1.0
713,0.35242,1.0
714,0.35291,1.0
715,0.35341,1.0
716,0.3539,1.0
717,0.35439,1.0
718,0.35489,1.0
719,0.35538,1.0
720,0.35587,1.0
721,0.35637,1.0
722,0.35686,1.0
723,0.35735,1.0
724,0.35785,1.0
725,0.35834,1.0
726,0.35884,1.0
727,0.35933,1.0
728,0.35982,1.0
729,0.36032,1.0
730,0.36081,1.0
731,0.3613,1.0
732,0.3618,1.0
733,0.36229,1.0
734,0.36278,1.0
735,0.36328,1.0
736,0.36377,1.0
737,0.36426,1.0
738,0.36476,1.0
739,0.36525,1.0
740,0.36575,1.0
741,0.36624,1.0
742,0.36673,1.0
743,0.36723,1.0
744,0.36772,1.0
745,0.36821,1.0
746,0.36871,1.0
747,0.3692,1.0
748,0.36969,1.0
749,0.37019,1.0
750,0.37068,1.0
751,0.37117,1.0
752,0.37167,1.0
753,0.37216,1.0
754,0.37266,1.0
755,0.37315,1.0
756,0.37364,1.0
757,0.37414,1.0
758,0.37463,1.0
759,0.37512,1.0
760,0.37562,1.0
761,0.37611,1.0
762,0.3766,1.0
763,0.3771,1.0
764,0.37759,1.0
765,0.37808,1.0
766,0.37858,1.0
767,0.37907,1.0
768,0.37957,1.0
769,0.38006,1.0
770,0.38055,1.0
771,0.38105,1.0
772,0.38154,1.0
773,0.38203,1.0
774,0.38253,1.0
775,0.38302,1.0
776,0.38351,1.0
777,0.38401,1.0
778,0.3845,1.0
779,0.385,1.0
780,0.38549,1.0
781,0.38598,1.0
782,0.38648,1.0
783,0.38697,1.0
784,0.38746,1.0
785,0.38796,1.0
786,0.38845,1.0
787,0.38894,1.0
788,0.38944,1.0
789,0.38993,1.0
790,0.39042,1.0
791,0.39092,1.0
792,0.39141,1.0
793,0.39191,1.0
794,0.3924,1.0
795,0.39289,1.0
796,0.39339,1.0
797,0.39388,1.0
798,0.39437,1.0
799,0.39487,1.0
800,0.39536,1.0
801,0.39585,1.0
802,0.39635,1.0
803,0.39684,1.0
804,0.39733,1.0
805,0.39783,1.0
806,0.39832,1.0
807,0.39882,1.0
808,0.39931,1.0
809,0.3998,1.0
810,0.4003,1.0
811,0.40079,1.0
812,0.40128,1.0
813,0.40178,1.0
814,0.40227,1.0
815,0.40276,1.0
816,0.40326,1.0
817,0.40375,1.0
818,0.40424,1.0
819,0.40474,1.0
820,0.40523,1.0
821,0.40573,1.0
822,0.40622,1.0
823,0.40671,1.0
824,0.40721,1.0
825,0.4077,1.0
826,0.40819,1.0
827,0.40869,1.0
828,0.40918,1.0
829,0.40967,1.0
830,0.41017,1.0
831,0.41066,1.0
832,0.41115,1.0
833,0.41165,1.0
834,0.41214,1.0
835,0.41264,1.0
836,0.41313,1.0
837,0.41362,1.0
838,0.41412,1.0
839,0.41461,1.0
840,0.4151,1.0
841,0.4156,1.0
842,0.41609,1.0
843,0.41658,1.0
844,0.41708,1.0
845,0.41757,1.0
846,0.41807,1.0
847,0.41856,1.0
848,0.41905,1.0
849,0.41955,1.0
850,0.42004,1.0
851,0.42053,1.0
852,0.42103,1.0
853,0.42152,1.0
854,0.42201,1.0
855,0.42251,1.0
856,0.423,1.0
857,0.42349,1.0
858,0.42399,1.0
859,0.42448,1.0
860,0.42498,1.0
861,0.42547,1.0
